"Method","GroupBasedOn","Group","Process","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43","bin44","bin45","bin46","bin47","bin48","bin49","bin50","bin51","bin52","bin53","bin54","bin55","bin56","bin57","bin58","bin59","bin60","bin61","bin62","bin63","bin64","bin65","bin66","bin67","bin68","bin69","bin70","bin71","bin72","bin73","bin74","bin75","bin76","bin77","bin78","bin79","bin80","bin81","bin82","bin83","bin84","bin85","bin86","bin87","bin88","bin89","bin90","bin91","bin92","bin93","bin94","bin95","bin96","bin97","bin98","bin99","bin100","bin101","bin102","bin103","bin104","bin105","bin106","bin107","bin108"
"CbMPDiCbraya","host","C_vs_T","HeS",0,0,0,0,0,0,0,0,0,0,0,0,0.00349684983554628,0,0,0,0,0,0.00252862732153314,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00163051952987355,0,0,0,0,0,0,0,0,0,0.00249173448753579,0,0,0.00394531048409777,0,0,0,0,0,0,0,0,0,0,0.00280790838506618,0,0,0,0.00568440434629404,0,0.00377825832860268,0,0,0,0,0,0.000672809489230617,0,0.00684461569457288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CbMPDiCbraya","host","C_vs_T","HoS",0,0,0,0,0.0009900735946243,0,0.00649521802181271,0,0,0,0,0.000866543050031631,0,0.00257257238663492,0,0,0.00518220127572454,0,0,0,0,0,0,0.00509772096335726,0,0,0,0.00284361379749085,0,0,0,0.00175648711963954,0,0,0,0,0,0.00183255230183599,0,0.00234913864172222,0.00646129926435215,0,0,0,0,0.0043017253001977,0,0.00790188795114749,0,0.0114287208170692,0,0.00884545851885578,0,0,0.00163474812402403,0.0786828939216117,0,0,0,0,0,0,0,0.00166387761563915,0.0175511963251924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225344563418332,0.00334050191401508,0.00304442525188249,0.00141139690424895,0,0,0,0,0,0,0,0,0,0.00203485516077988,0,0,0.000706222648963306,0,0,0,0.00301378154121407,0,0,0
"CbMPDiCbraya","host","C_vs_T","DL",0.00507933129383419,0.00496250711290923,0.00171430620688982,0.00533380275060214,0,0.00177458798545081,0,0.00696469479953251,0.00631716424281833,0.00463541322949082,0.00266317336179303,0.00347336941997621,0.00327157534858286,0.00208464567398783,0.0103663554536234,0.00994103105193262,0,0.00474220514446396,0.00216727599381781,0.00260686798756234,0.000798537387850229,0.00268623747027273,0.00337694113012235,0,0.00318042391645498,0.00415784819677857,0,0,0.0012667955314368,0.00225548353144732,0.00323274620608746,0,0.00161241601368979,0.00292463879944861,0.00256669403457896,0.00387707090085197,0.00313827057540573,0.00242600390147821,0,0.00426875326828016,0,0.00161381318961766,0.00258005552707106,0.00232467543375838,0.00529351601229979,0,0.00136861054488246,0.00607320125684772,0.00292305993561926,0,0.00134905242326255,0,0.00785382900209092,0.00614376280106268,0,0.0766837379981424,0.00241679246249546,0.00302711995246535,0,0.00646777603984145,0.005189336437104,0.00748644935485315,0,0.00274990412442642,0,0.0030033263021258,0.00541901341109616,0.00134873205337079,0.00252534987305952,0.0030700588941043,0.00392709118355454,0,0.00181654561261303,0.00773956967946366,0.00157014450633698,0,0.00203651601779709,0.00232615831768481,0,0.00196213803221327,0.00286548088793735,0,0.00241292344759719,0.00124014116433357,0,0,0,0.00539706521126369,0.00274640945400072,0.00484387395465628,0.00394581630052494,0.00468689991236211,0,0.00259373192958879,0.00375397126123259,0.00063388868095978,0.00059710061189614,0,0.0114884053446424,0.00276779623298686,0.00364057848799658,0.00344660289532503,0.00321513452349362,0.00329433035498362,0.0032075179098073,0.00435612318899823,0.00383263449220517,0.0034015830812362
"CbMPDiCbraya","host","C_vs_T","HD",0,0,0,0,0,0,0,0,0.000629320359602311,0,0,0,0,0,0.00118412806148957,0,0.000454930173508252,0.000207494551899634,0,0,0,0.000181120661524706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000122268774111097,0,0,0.000639163754939517,0,0,0,0,0,0,0.00163955757662777,0.000390124422029504,0.000770110214856582,0,0.00738500953450574,0,7.25543599589231e-05,0,0,0,0,0,0.00103443191820681,0.00766023208904685,0,0,0,0,0,0.00342718257594078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00483076925530746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000422409398684261,0,0
"CbMPDiCbraya","host","C_vs_T","DR",0.00962837111087284,0.00267278705243535,0.000990612898182185,0.00882944200525069,0.00241834274401067,0.00362882174893658,0.00359840467294783,0.00351675438117224,0,0.000812903439662327,0.00440744448423809,0.00074040796011014,0.00156871431888664,0.00312713912238541,0.00277783622032855,0.00408270024312602,0.00126154543324851,0.000421758897313013,0.000543728977856676,0.00153368901958375,0.00186483580060971,0.000572911371055944,0.00205464730831399,0.00318706534554254,0.00171624958200088,0.00971638456096454,0.0133302293394129,0.00436334201389137,0.00160669748664996,0.00104433304071668,0.00268584797073502,0.0022618975931381,0.000706394079302409,0.00608647273085408,0.00235957410298384,0.00997341520847317,0.00752582561451986,0.00425855620331421,0.00298107527706401,0.00195939354992465,0,0.00173608196372875,0.0025632084244413,0.00127786084567471,0.000773781641823625,0.00358965996177102,0.00356345649262361,0.00110848801207722,0.00170603864584033,0,0.000330321631153891,0.00208168474811678,0.000662577510566032,0.00112695820234569,0.00445058256917559,0,0.00133999776438527,0.000555438002539145,0.0128053504006427,0.00373792149396159,0.00393782172752575,0.0194710008210456,0.00984726520533877,0.00212045842699408,0,0.00157283037938843,0.00132859467926332,0.00321700634150331,0.000538767086515529,0.00543922353183644,0,0.0096205208346871,0.00115009374387109,0.0036813163438526,0.000395693980375378,0.00856239358475691,0.00310496504042245,0.00438810375883561,0.00658910369178246,0.000598903040887672,0.00190655789299336,0.0064767886641861,0.00506410082502298,0.00281019385022153,0.00116090578972566,0.00100272450416298,0.00460590755056485,0.00111205933011378,0.00530037366186947,0.013066880507308,0.00248013026899921,0.0113697458328501,0.00689912425502609,0.00504625004788386,0.00355224193140211,0.00165978087489345,0.00137028156681879,0.00435285561145066,0.00314006713704844,0.00148913929831847,0.0012306290631598,0.00103527094116145,0.00151125514905127,0.000920657984747676,0.00264928243594104,0.00121275216660336,0.00890788054059183,0.0071572216185347
