ASV_ID	CaS3_S35_L001	CaS4_S47_L001	TgS1_S11_L001	TgS2_S23_L001	UpS5_S59_L001
ASV411	0	5	18	24	15
ASV412	0	0	62	0	0
ASV413	0	0	0	0	62
ASV414	0	0	0	0	62
ASV415	61	0	0	0	0
ASV416	35	26	0	0	0
ASV417	19	0	15	27	0
ASV418	0	61	0	0	0
ASV419	0	61	0	0	0
ASV420	0	18	0	0	43
ASV421	0	0	61	0	0
ASV422	0	0	29	32	0
ASV423	0	0	0	0	61
ASV424	0	0	0	0	61
ASV425	0	0	0	0	61
ASV426	0	0	0	0	61
ASV427	60	0	0	0	0
ASV428	60	0	0	0	0
ASV429	6	21	4	0	29
ASV430	0	5	0	0	55
ASV431	0	0	24	36	0
ASV432	0	0	0	0	60
ASV433	0	0	0	0	60
ASV434	0	0	0	0	60
ASV435	0	0	0	0	60
ASV436	0	0	0	0	60
ASV437	0	0	0	0	60
ASV438	29	0	0	0	30
ASV439	0	59	0	0	0
ASV440	0	59	0	0	0
ASV441	0	46	13	0	0
ASV442	0	0	59	0	0
ASV443	0	0	59	0	0
ASV444	0	0	0	0	59
ASV445	0	0	0	0	59
ASV446	58	0	0	0	0
ASV447	38	20	0	0	0
ASV448	25	0	33	0	0
ASV449	22	36	0	0	0
ASV450	10	0	0	0	48
ASV451	0	0	58	0	0
ASV452	0	0	0	0	58
ASV453	0	0	0	0	58
ASV454	57	0	0	0	0
ASV455	57	0	0	0	0
ASV456	15	42	0	0	0
ASV457	0	57	0	0	0
ASV458	0	53	0	4	0
ASV459	0	0	57	0	0
ASV460	0	0	0	23	34
ASV461	0	0	0	0	57
ASV462	0	0	0	0	57
ASV463	0	0	0	0	57
ASV464	0	0	0	0	57
ASV465	0	0	0	0	57
ASV466	56	0	0	0	0
ASV467	56	0	0	0	0
ASV468	56	0	0	0	0
ASV469	13	21	22	0	0
ASV470	11	45	0	0	0
ASV471	0	56	0	0	0
ASV472	0	56	0	0	0
ASV473	0	7	0	0	49
ASV474	0	0	56	0	0
ASV475	0	0	56	0	0
ASV476	0	0	0	56	0
ASV477	0	0	0	0	56
ASV478	0	0	0	0	56
ASV479	0	0	0	0	56
ASV480	55	0	0	0	0
ASV481	34	21	0	0	0
ASV482	21	34	0	0	0
ASV483	15	0	0	0	40
ASV484	0	55	0	0	0
ASV485	0	0	55	0	0
ASV486	0	0	55	0	0
ASV487	0	0	19	36	0
ASV488	0	0	0	0	55
ASV489	0	0	0	0	55
